q06_1,q06_2,q06_3,q06_4,q06_5,q06_6,q06_7,q06_8,q06_9,q06_10,q06_11,q06_12,q06_13,q06_14,q06_15,q06_16,q06_17,q07_1,q07_2,q07_3,q07_4,q07_5,q07_6,q07_7,q07_8,q07_9,q07_10,q07_11,q07_12,q07_13,q07_14,q07_15,q07_16,q07_17,q07_18,q07_19,q08_1,q08_2,q08_3,q08_4,q08_5,q08_6,q08_7,q08_8,q16_1,q16_2,q16_3,q16_4,q16_5,q16_6,q16_7,q16_8,q16_9,q20_1,q20_2,q20_3,q20_4,q20_5,q20_6,q26_1,q26_2,q26_3,q26_4,q26_5,q26_6,q26_7,q26_8,q26_9,q26_10,q26_11,q26_12,q26_13,q31_1,q31_2,q31_3,q31_4,q31_5,q31_6,q31_7,q31_8,q31_9,q31_10,q31_11,q31_12,q31_13,q31_14,q31_15,q31_16,q31_17,q31_18,q31_19,q31_20,q35_1,q35_2,q35_3,q35_4,q35_5,q35_6,q35_7,q35_8,q35_9,q35_10,q35_11,q35_12,q35_13,q39_1,q39_2,q39_3,q39_4,q39_5,q39_6,q39_7,q39_8,q48_1,q48_2,q48_3,q48_4,q48_5,q48_6,q48_7,q48_8,q48_9,q48_10,q48_11,q48_12,q48_13,q48_14,q48_15,q48_16,q48_17,q48_18,q48_19,q48_20,q48_21,q48_22,q48_23,q48_24,q48_25,q48_26,q48_27,q48_28,q48_29,q48_30,q48_31,q48_32,q48_33,q48_34,q48_35
2.96,0.74,5.18,5.18,2.22,4.44,2.22,3.7,3.7,3.7,3.7,2.22,2.96,3.7,1.48,3.7,0.74,3.7,0.74,3.7,0.74,0.74,3.7,0.74,1.48,0.74,4.44,3.7,4.44,0.74,3.7,3.7,0.74,3.7,0.74,3.7,4.44,5.18,5.18,3.7,5.18,4.44,4.44,3.7,0.74,2.96,2.22,0.74,2.22,1.48,0.74,3.7,0.74,2.96,2.96,3.7,2.22,2.96,2.22,0.74,2.22,0.74,0.74,3.7,0.74,0.74,3.7,4.44,3.7,3.7,0.74,2.96,3.7,2.22,0.74,0.74,2.22,4.44,3.7,0.74,3.7,3.7,2.96,3.7,2.22,0.74,0.74,2.96,1.48,0.74,0.74,3.7,1.48,2.22,2.96,0.74,0.74,0.74,1.48,0.74,2.96,3.7,0.74,0.74,2.96,2.96,2.22,3.7,0.74,0.74,0.74,3.7,0.74,3.7,2.96,3.7,4.44,3.7,2.96,3.7,1.48,2.22,3.7,2.96,2.96,3.7,2.22,4.44,2.96,1.48,3.7,0.74,2.96,2.22,2.96,2.22,2.96,2.22,3.7,3.7,2.22,2.96,1.48,3.7,3.7,4.44,2.22,3.7
5.192,6.49,6.49,3.894,7.788,5.192,3.894,6.49,5.192,3.894,6.49,3.894,3.894,7.788,7.788,3.894,3.894,9.086,2.596,7.788,1.298,3.894,9.086,6.49,7.788,5.192,9.086,9.086,7.788,7.788,7.788,6.49,3.894,7.788,5.192,9.086,7.788,3.894,3.894,7.788,9.086,9.086,6.49,5.192,1.298,5.192,1.298,1.298,7.788,5.192,1.298,1.298,1.298,5.192,5.192,3.894,9.086,9.086,5.192,3.894,9.086,3.894,3.894,9.086,7.788,5.192,9.086,9.086,9.086,9.086,5.192,9.086,9.086,1.298,5.192,7.788,5.192,9.086,9.086,5.192,9.086,7.788,3.894,9.086,1.298,5.192,2.596,1.298,1.298,3.894,9.086,9.086,9.086,5.192,5.192,5.192,5.192,5.192,6.49,5.192,5.192,5.192,5.192,5.192,9.086,7.788,6.49,6.49,5.192,6.49,7.788,7.788,6.49,3.894,3.894,3.894,3.894,6.49,2.596,6.49,5.192,6.49,3.894,3.894,6.49,7.788,6.49,6.49,5.192,3.894,7.788,6.49,3.894,7.788,3.894,6.49,7.788,3.894,3.894,6.49,3.894,6.49,3.894,6.49,6.49,5.192,6.49,6.49
3.138,6.276,7.845,3.138,6.276,6.276,3.138,7.845,9.414,3.138,3.138,1.569,1.569,9.414,9.414,3.138,3.138,9.414,3.138,4.707,1.569,1.569,7.845,3.138,3.138,3.138,10.983,9.414,7.845,7.845,9.414,6.276,1.569,10.983,9.414,10.983,4.707,4.707,4.707,9.414,4.707,7.845,4.707,7.845,0,0,7.845,1.569,4.707,6.276,7.845,4.707,3.138,4.707,6.276,4.707,9.414,9.414,9.414,1.569,3.138,3.138,1.569,7.845,1.569,3.138,9.414,9.414,9.414,9.414,3.138,9.414,7.845,9.414,9.414,1.569,3.138,10.983,10.983,6.276,7.845,4.707,10.983,3.138,1.569,1.569,7.845,6.276,1.569,3.138,3.138,6.276,6.276,6.276,1.569,4.707,3.138,1.569,7.845,6.276,6.276,7.845,3.138,6.276,3.138,9.414,7.845,6.276,1.569,1.569,1.569,9.414,1.569,7.845,6.276,4.707,7.845,9.414,3.138,4.707,7.845,3.138,7.845,7.845,3.138,6.276,3.138,6.276,6.276,1.569,9.414,3.138,7.845,4.707,6.276,4.707,6.276,4.707,9.414,3.138,6.276,6.276,3.138,9.414,10.983,9.414,6.276,7.845
6.276,7.845,9.414,1.569,10.983,6.276,7.845,7.845,6.276,4.707,10.983,1.569,1.569,10.983,10.983,4.707,6.276,10.983,6.276,6.276,6.276,4.707,9.414,6.276,6.276,4.707,10.983,6.276,7.845,9.414,9.414,6.276,6.276,10.983,9.414,10.983,9.414,10.983,10.983,10.983,10.983,10.983,9.414,9.414,0,1.569,10.983,3.138,1.569,6.276,10.983,1.569,4.707,10.983,10.983,7.845,10.983,7.845,7.845,4.707,10.983,4.707,3.138,10.983,6.276,7.845,10.983,10.983,10.983,10.983,6.276,7.845,10.983,3.138,10.983,1.569,7.845,9.414,10.983,6.276,7.845,4.707,9.414,10.983,1.569,6.276,10.983,9.414,1.569,6.276,7.845,10.983,9.414,4.707,3.138,9.414,9.414,7.845,10.983,10.983,9.414,10.983,3.138,9.414,3.138,10.983,1.569,6.276,6.276,9.414,9.414,6.276,6.276,10.983,10.983,9.414,10.983,7.845,7.845,7.845,7.845,6.276,6.276,1.569,7.845,6.276,7.845,9.414,7.845,3.138,10.983,10.983,4.707,9.414,4.707,4.707,10.983,6.276,6.276,6.276,6.276,7.845,4.707,7.845,6.276,7.845,6.276,9.414
2.26,1.808,3.164,1.356,0.904,1.808,2.712,3.164,0.452,0.904,1.808,2.26,2.712,2.712,2.712,1.808,1.808,3.164,0.904,1.808,0.452,0.904,2.26,1.808,0.904,3.164,3.164,2.712,3.164,0.904,0.904,1.808,3.164,3.164,3.164,3.164,2.712,3.164,3.164,3.164,3.164,2.26,2.712,2.26,3.164,3.164,0.452,0.452,2.26,0.452,0.904,3.164,3.164,0.452,3.164,3.164,2.712,3.164,2.26,1.356,1.808,0.452,0.452,2.26,0.452,0.452,1.808,2.26,0.452,2.26,0.904,1.808,0.452,1.808,3.164,0.452,3.164,3.164,3.164,3.164,1.808,1.808,3.164,3.164,0.452,0.452,3.164,2.712,0.452,1.808,0.452,3.164,2.26,1.808,0.452,1.356,2.26,2.26,2.26,2.26,2.26,2.26,1.808,2.26,2.712,3.164,0.904,2.712,1.808,2.712,2.712,2.712,2.712,3.164,2.26,0.452,3.164,3.164,1.356,0.904,1.808,0.904,2.26,1.808,1.808,2.712,0.452,1.356,2.26,0.452,3.164,0.452,2.712,2.26,0.452,0.452,0.452,0.452,3.164,3.164,1.808,1.808,0.452,3.164,3.164,1.808,0.452,0.452
10.688,13.36,13.36,10.688,8.016,10.688,10.688,13.36,10.688,8.016,13.36,8.016,8.016,10.688,13.36,10.688,10.688,10.688,8.016,10.688,5.344,10.688,2.672,8.016,10.688,10.688,13.36,10.688,10.688,8.016,10.688,13.36,10.688,13.36,10.688,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,13.36,0,13.36,2.672,13.36,13.36,13.36,10.688,10.688,10.688,10.688,10.688,10.688,10.688,10.688,2.672,10.688,10.688,8.016,13.36,10.688,10.688,10.688,8.016,8.016,10.688,10.688,10.688,2.672,5.344,18.704,2.672,13.36,13.36,13.36,16.032,2.672,5.344,18.704,5.344,2.672,2.672,10.688,18.704,5.344,2.672,2.672,2.672,10.688,10.688,10.688,13.36,8.016,10.688,10.688,8.016,10.688,13.36,8.016,10.688,10.688,10.688,13.36,10.688,10.688,13.36,10.688,10.688,10.688,13.36,8.016,10.688,10.688,10.688,10.688,8.016,8.016,10.688,10.688,10.688,10.688,10.688,10.688,10.688,13.36,8.016,8.016,13.36,10.688,10.688,10.688,8.016,10.688,10.688,13.36,10.688,10.688,10.688,10.688,13.36,13.36,10.688,8.016,10.688
3.138,9.414,9.414,7.845,10.983,1.569,9.414,7.845,6.276,4.707,9.414,6.276,4.707,9.414,7.845,3.138,3.138,10.983,6.276,7.845,9.414,7.845,10.983,7.845,7.845,9.414,10.983,10.983,9.414,9.414,7.845,10.983,7.845,10.983,9.414,10.983,6.276,9.414,10.983,10.983,7.845,7.845,7.845,7.845,1.569,0,10.983,1.569,7.845,9.414,3.138,9.414,6.276,9.414,3.138,10.983,10.983,7.845,10.983,6.276,10.983,7.845,7.845,10.983,7.845,7.845,10.983,10.983,10.983,9.414,7.845,10.983,10.983,6.276,1.569,9.414,3.138,10.983,6.276,3.138,10.983,10.983,9.414,10.983,4.707,10.983,10.983,1.569,3.138,10.983,10.983,10.983,10.983,7.845,6.276,7.845,10.983,10.983,7.845,10.983,9.414,10.983,7.845,9.414,9.414,10.983,6.276,9.414,9.414,6.276,9.414,6.276,7.845,9.414,10.983,9.414,10.983,7.845,9.414,7.845,6.276,6.276,10.983,9.414,3.138,7.845,6.276,10.983,9.414,7.845,10.983,10.983,10.983,4.707,10.983,7.845,10.983,10.983,3.138,7.845,9.414,9.414,7.845,10.983,7.845,9.414,9.414,10.983
1.808,3.164,1.356,1.356,2.712,1.356,2.712,2.26,3.164,2.712,3.164,2.712,2.712,3.164,3.164,1.808,1.356,3.164,2.712,1.808,1.356,1.356,2.26,3.164,2.26,3.164,3.164,3.164,1.356,3.164,2.26,3.164,3.164,3.164,3.164,3.164,3.164,3.164,3.164,1.808,3.164,3.164,2.712,2.712,0,2.712,2.712,0.452,2.712,0.904,1.356,2.712,1.356,2.712,0.452,3.164,3.164,1.808,1.808,2.26,2.712,1.356,1.808,3.164,3.164,3.164,2.712,3.164,2.712,1.808,3.164,3.164,1.356,2.26,2.26,2.712,2.712,2.712,2.712,1.808,2.712,2.712,2.712,2.712,1.808,2.712,2.712,1.808,2.26,1.356,2.26,1.808,2.26,2.26,1.356,3.164,2.712,2.26,1.356,2.26,2.26,2.26,2.26,2.26,1.808,2.712,1.808,2.712,2.712,2.712,2.26,0.452,2.712,2.26,2.712,1.808,2.26,2.26,2.26,1.808,1.808,1.356,1.808,1.808,1.808,2.26,2.712,2.26,2.26,1.356,3.164,1.808,1.808,2.26,0.904,1.808,1.808,1.808,1.808,1.356,2.26,2.712,1.356,3.164,3.164,2.712,2.712,2.26
5.905,4.724,8.267,2.362,2.362,5.905,3.543,7.086,7.086,5.905,7.086,2.362,2.362,5.905,5.905,5.905,3.543,7.086,1.181,2.362,2.362,1.181,1.181,1.181,2.362,4.724,8.267,7.086,1.181,2.362,1.181,2.362,4.724,8.267,7.086,8.267,8.267,5.905,4.724,4.724,7.086,7.086,8.267,5.905,8.267,1.181,4.724,1.181,2.362,5.905,7.086,5.905,1.181,7.086,7.086,7.086,8.267,7.086,5.905,1.181,4.724,2.362,1.181,7.086,2.362,4.724,7.086,7.086,7.086,7.086,5.905,5.905,5.905,5.905,7.086,1.181,5.905,7.086,4.724,1.181,7.086,5.905,8.267,3.543,2.362,2.362,2.362,1.181,1.181,1.181,1.181,2.362,2.362,7.086,2.362,7.086,7.086,5.905,2.362,7.086,7.086,7.086,5.905,7.086,2.362,5.905,4.724,4.724,5.905,4.724,4.724,5.905,2.362,7.086,7.086,3.543,2.362,5.905,4.724,2.362,1.181,2.362,4.724,3.543,2.362,5.905,1.181,4.724,5.905,4.724,7.086,7.086,5.905,5.905,8.267,7.086,5.905,2.362,5.905,4.724,1.181,5.905,2.362,5.905,1.181,5.905,5.905,4.724
6.595,6.595,6.595,2.638,7.914,7.914,6.595,9.233,6.595,6.595,7.914,7.914,6.595,5.276,5.276,5.276,5.276,7.914,1.319,7.914,2.638,2.638,7.914,1.319,6.595,7.914,7.914,7.914,7.914,3.957,5.276,6.595,1.319,7.914,6.595,7.914,6.595,7.914,7.914,7.914,7.914,7.914,6.595,2.638,7.914,2.638,2.638,2.638,2.638,6.595,2.638,6.595,3.957,7.914,6.595,7.914,7.914,7.914,6.595,2.638,7.914,2.638,2.638,7.914,6.595,6.595,7.914,7.914,7.914,2.638,2.638,6.595,6.595,1.319,6.595,2.638,7.914,6.595,6.595,2.638,7.914,7.914,7.914,7.914,1.319,1.319,9.233,1.319,2.638,2.638,2.638,7.914,6.595,5.276,2.638,6.595,6.595,6.595,2.638,6.595,3.957,6.595,5.276,5.276,9.233,7.914,3.957,5.276,7.914,7.914,7.914,6.595,7.914,6.595,3.957,6.595,6.595,6.595,6.595,2.638,7.914,2.638,5.276,9.233,6.595,9.233,7.914,6.595,6.595,9.233,5.276,3.957,7.914,2.638,7.914,7.914,7.914,7.914,2.638,3.957,9.233,7.914,6.595,7.914,2.638,7.914,2.638,9.233
4.724,4.724,5.905,1.181,3.543,4.724,4.724,2.362,1.181,4.724,5.905,4.724,4.724,8.267,8.267,4.724,4.724,4.724,1.181,4.724,4.724,4.724,8.267,4.724,4.724,5.905,8.267,4.724,4.724,4.724,4.724,4.724,4.724,8.267,8.267,8.267,7.086,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,0,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,7.086,4.724,4.724,7.086,5.905,2.362,4.724,4.724,4.724,7.086,4.724,4.724,7.086,4.724,4.724,4.724,5.905,5.905,5.905,7.086,1.181,8.267,3.543,4.724,4.724,1.181,4.724,1.181,4.724,5.905,2.362,4.724,2.362,1.181,1.181,4.724,5.905,5.905,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,4.724,8.267,7.086,3.543,7.086,4.724,4.724,4.724,4.724,4.724,5.905,4.724,8.267,4.724,4.724,5.905,4.724,1.181,1.181,4.724,4.724,4.724,5.905,4.724,4.724,7.086,5.905,4.724,5.905,4.724,4.724,7.086,5.905,8.267,8.267,1.181,4.724,5.905,5.905,4.724,7.086,4.724,4.724,4.724,1.181
